path,size_bytes,sha256
.gitignore,151,bd02fc638b8d8b75566acfd4b9f46dffa1430b397df528173029f6672859e396
README.md,2314,a360e5d23e23413f5ee70f5632ce458d706670b889cbaef6c5b9bf6c6f97d5fb
code/01_stage1_cleaner/01_PREPARE_SELECTION.bat,357,74ecc29a85ac269560ffb45e6414b95f77b3e8c8470a14cbb0fcb3e8d0b9b95f
code/01_stage1_cleaner/02_RUN_CLEANING.bat,415,58880b38e8ddb63aed1a8853e99e3263739edc4d6111d65f47f0829d05c14abe
code/01_stage1_cleaner/README.md,3075,c4e7208b1e1e93ad58f6ce8e32e8a7d8c28dac69215522660c4797c2059c33c6
code/01_stage1_cleaner/requirements.txt,65,565fa3d36fdc0e85b55ae08e467a2136494df484f028c465ea04357e2c5690a6
code/01_stage1_cleaner/stage1_clean_l03_l04.py,22401,c91992b6ec063aed894a038ee74ca7b7aeca9ce57d92cfe6f2f1e815d549cd62
code/02_stage2a_grid_graph/README.md,2109,62fbf5251cab2e0086fccca0b504e73d03b2683e4a2d932a213f920a58a04fb8
code/02_stage2a_grid_graph/RUN_STAGE2A.bat,1101,b65285e47987865fbc71d70913456384168c0c469f1ed4cce550746688b3a7ae
code/02_stage2a_grid_graph/requirements.txt,89,c1fdffb0c977f0bea96b84440445711de710decaff84e9ccf826ab37518740b1
code/02_stage2a_grid_graph/stage2a_build_blocks.py,26201,78103b3680762589300a3c767c99a3f7751fd6a7b78e8c3ee13ae84225fb268d
code/02_stage2a_grid_graph/verify_stage2a.py,7050,55d7db953f608d816a6b1517d7d801ae0e32946d9754124191391b23dca3e358
code/03_stage2b_dea/CHANGELOG.md,920,5c780c9f9edbd52eca7ceedbb4b61273a506b14078a4625159363b23d77d3a66
code/03_stage2b_dea/README.md,3565,73d82d8da31733a51c5d00d458528d9da75b6c6dea3ebbfd76b82cbabae71583
code/03_stage2b_dea/RUN_STAGE2B_LOCAL_STAC.bat,1355,5bac151ac034c5f2bcf7105e6161b4ba89bffc804bfa017c380fc571054cc958
code/03_stage2b_dea/RUN_STAGE2B_LOCAL_STAC_PY310.bat,1074,18ec7495470dee58a0886e16f7cb7fbcfd00c344c3fd89fd7cf09419f1c13649
code/03_stage2b_dea/TEST_PUBLIC_DEA_ACCESS.bat,454,420163707dfdd5b5bd55a20882706253d0cccb88977bb426b38a2ecb3e7bffd2
code/03_stage2b_dea/TEST_PUBLIC_DEA_ACCESS_PY310.bat,615,699d1e50b00fa57f5e5fdf74b9bf9c8f972fd7dae64ea9e95ea051803e0b1fef
code/03_stage2b_dea/finalize_stage2b_existing.py,19352,305ea55dbd8d46a217539ccd673f1f0001d49ea9e805dac394f03dd030d6299f
code/03_stage2b_dea/requirements.txt,187,639273ed74648d84092b4dccc48fda6d368cc0d1e6a0735451e86d65aea4480f
code/03_stage2b_dea/stage2b_local_stac_prescreen.py,41991,4a3e9fa163280f4ef3f481eb73bcbd54ea5f24202eb5d6fb8111a16a82b4a85d
code/03_stage2b_dea/verify_stage2b_local_stac.py,10733,ed715d7cc8ed67086482bdcb33e772bc945b6fef321744bce3006c2f39fe10df
code/04_stage3a_registry/CHANGELOG.md,3594,fb295dd512b8cfa79e4b7a865072eb53d9152284f475abc7ffdaf4d3a45e8525
code/04_stage3a_registry/README.md,4653,a1d5ca2f9c0271bbd00edcebfcbd5c4efeed2d6e1b60453462e3d1da751c9b2d
code/04_stage3a_registry/RUN_STAGE3A.bat,1584,174ce98bf793b0316d428cc2c022215ab3fc450e2930d0a4d1ae4b6e5c034b37
code/04_stage3a_registry/RUN_STAGE3A.ps1,1061,c27b88e07df8af7b842924f6185a3c84f27f5bf87e6d85dd6098cb7b3041c288
code/04_stage3a_registry/docs/GeoDose_Stage3_Execution_Blueprint.md,5720,70902476c875f6901e6c99f1340f31a8ccf86f8cff16c2830189414b89f1779a
code/04_stage3a_registry/docs/Stage3A_v1_3_1_Source_Audit.md,808,9cd9b927ee1f5b2e39f61cee5d195c64a965211ee8a0356f3eea5d6c0e428869
code/04_stage3a_registry/requirements_frozen_py310.txt,89,4b93975374ae36dd7c69eaa79bdbb5546c1a8cc7aaada31b4ba69ebbc7cff2fd
code/04_stage3a_registry/requirements_py310.txt,69,954e4d1a324b8508b29c1cb6bb479e95a25b894958a6447506dc664fa3b08288
code/04_stage3a_registry/src/geodose_stage3a/__init__.py,22,329013e6180da079d3b46d57443fc657f03b42b1d553abc98c64b0ffca8c180e
code/04_stage3a_registry/src/geodose_stage3a/core.py,13560,c7f291d6b9aa8213058f36db912396bcfea26ee31ad30f38a9354c91866d9e3d
code/04_stage3a_registry/stage3a_prepare.py,60341,2d6514913bab0d0a688dd0f1d35c72a0bfe4ca396065a00317b412fca21b260a
code/04_stage3a_registry/tests/test_generator.py,1776,7aacac34824aab2039b9129f53e494d46f1a5ae7e99d88c329d5bdb8d3ef3499
code/04_stage3a_registry/verify_stage3a.py,22581,718453607e482a14853716959d4374d94bdd55606cdd907d2e06810f31b8a17f
code/05_stage3b_controlled_generator/CHANGELOG.md,899,4db341ce56125f2f193d9e83e5b28fc1df49634ebd195ecc6f9b5d370dcbf755
code/05_stage3b_controlled_generator/README.md,5451,79cfb77c208a61df5f67715d711a1398c2234f045f6ee2ec5858421ca73b2be9
